tweet_id,favorites,retweets,user_followers,user_favourites,date_time
747461612269887489,3752,1007,8957997,146001,2016-06-27 16:08:30+00:00
747439450712596480,5247,1842,8957997,146001,2016-06-27 14:40:26+00:00
747242308580548608,0,2793,8957997,146001,2016-06-27 01:37:04+00:00
747219827526344708,5098,1508,8957997,146001,2016-06-27 00:07:44+00:00
747204161125646336,3255,876,8957997,146001,2016-06-26 23:05:29+00:00
747103485104099331,9251,3810,8957997,146001,2016-06-26 16:25:26+00:00
746906459439529985,2811,284,8957997,146001,2016-06-26 03:22:31+00:00
746872823977771008,5792,2056,8957997,146001,2016-06-26 01:08:52+00:00
746818907684614144,5142,1680,8957997,146001,2016-06-25 21:34:37+00:00
746790600704425984,4714,1532,8957997,146001,2016-06-25 19:42:08+00:00
746757706116112384,9258,3759,8957997,146001,2016-06-25 17:31:25+00:00
746726898085036033,5862,1733,8957997,146001,2016-06-25 15:29:00+00:00
746542875601690625,4880,1824,8957997,146001,2016-06-25 03:17:46+00:00
746521445350707200,0,947,8957997,146001,2016-06-25 01:52:36+00:00
746507379341139972,4513,1047,8957997,146001,2016-06-25 00:56:43+00:00
746369468511756288,5993,1573,8957997,146001,2016-06-24 15:48:42+00:00
746131877086527488,6666,2108,8957997,146001,2016-06-24 00:04:36+00:00
746056683365994496,3460,785,8957997,146001,2016-06-23 19:05:49+00:00
745789745784041472,3877,1022,8957997,146001,2016-06-23 01:25:06+00:00
745712589599014916,6779,2237,8957997,146001,2016-06-22 20:18:30+00:00
745433870967832576,6840,2452,8957997,146001,2016-06-22 01:50:58+00:00
745422732645535745,8296,2330,8957997,146001,2016-06-22 01:06:43+00:00
745314880350101504,6913,2642,8957997,146001,2016-06-21 17:58:09+00:00
745074613265149952,7584,3351,8957997,146001,2016-06-21 02:03:25+00:00
745057283344719872,7010,2159,8957997,146001,2016-06-21 00:54:33+00:00
744995568523612160,2872,591,8957997,146001,2016-06-20 20:49:19+00:00
744971049620602880,7613,2578,8957997,146001,2016-06-20 19:11:53+00:00
744709971296780288,5421,1501,8957997,146001,2016-06-20 01:54:27+00:00
744334592493166593,6556,2021,8957997,146001,2016-06-19 01:02:50+00:00
744234799360020481,150863,74632,8957997,146001,2016-06-18 18:26:18+00:00
